;TimeZoneCode;DisplayName;Delta;Group;Type;Order
;R5T/S;Russian Zone 5 Summer Time;600;R5T,2;Summer
;IST;Indian Standard Time;530;IST,1;Base
;IST/S;Indian Standard Summer Time;630;IST,2;Summer
;NPT;Nepal Time;545;NPT,1;Base
;NPT/S;Nepal Summer Time;645;NPT,2;Summer
;BDLT;Bangladesh Local Time;553;BDLT,1;Base
;R6T;Russian Zone 6 Time;600;R6T,1;Base
;R6T/S;Russian Zone 6 Summer Time;700;R6T,2;Summer
;NST;North Sumatra Time;630;NST,1;Base
;NST/S;North Sumatra Summer Time;730;NST,2;Summer
;R7T;Russian Zone 7 Time;700;R7T,1;Base
;R7T/S;Russian Zone 7 Summer Time;800;R7T,2;Summer
;SST;South Sumatra Time;700;SST,1;Base
;SST/S;South Sumatra Summer Time;800;SST,2;Summer
;MALMT;Malaysia Local Time;720;MALMT,1;Base
;JVT;Java Time;730;JVT,1;Base
;JVT/S;Java Summer Time;830;JVT,2;Summer
;AWST;Australian Western Standard Time;800;AWST,1;Base
;AWST/S;Australian Western Daylight Time;900;AWST,2;Summer
;CCT;China Coast Time;800;CCT,1;Base
;CCT/S;China Coast Summer Time;900;CCT,2;Summer
;R8T;Russian Zone 8 Time;800;R8T,1;Base
;R8T/S;Russian Zone 8 Summer Time;900;R8T,2;Summer
;MYLMT;Malaysia Local Time;820;MYLMT,1;Base
;KRLMT;Korea Local Time;830;KRLMT,1;Base
;JST;Japan Standard Time;900;JST,1;Base
;JST/S;Japan Standard Summer Time;1000;JST,2;Summer
;R9T;Russian Zone 9 Time;900;R9T,1;Base
;R9T/S;Russian Zone 9 Summer Time;1000;R9T,2;Summer
;ACST;Australian Central Standard Time;930;ACST,1;Base
;ACST/S;Australian Central Savings Time;1030;ACST,2;Summer
;AEST;Australian Eastern Standard Time;1000;AEST,1;Base
;AEST/S;Australian Eastern Daylight Time;1100;AEST,2;Summer
;GST;Guam Standard Time;1000;GST,1;Base
;GST/S;Guam Summer Time;1100;GST,2;Summer
;Z10;Russian Zone 10 Time;1000;Z10,1;Base
;Z10/S;Russian Zone 10 Summer Time;1100;Z10,2;Summer
;SPT;South Pacific Time;1100;SPT,1;Base
;SPT/S;South Pacific Summer Time;1200;SPT,2;Summer
;Z11;Russian Zone 11 Time;1100;Z11,1;Base
;Z11/S;Russian Zone 11 Summer Time;1200;Z11,2;Summer
